objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet016,1,00:00:00.930,00:00:12.870,Beau Newsome,"Okay, all right Hello i'm Bo newsome and i'm here with Kate bar from scarecrow video and we're here on behalf of the University of Idaho archives and special collections department.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,2,00:00:13.650,00:00:20.460,Beau Newsome,And we're doing this is for an oral History project on Howard Hughes video and mainstream video co op in Moscow Idaho.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,3,00:00:22.350,00:00:38.790,Beau Newsome,Kate if you wouldn't mind just let me know what you do with your co video and i'll let people know that scarecrow video is an awesome video store in Seattle and working at Howard Hughes video We always knew scarecrow video being this mythological.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,4,00:00:39.930,00:00:44.760,Beau Newsome,amazing video store five five hours away base.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,5,00:00:44.790,00:00:45.180,,yeah.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,6,00:00:46.740,00:01:01.500,Kate Barr,"My name is Kate bar and I am the executive director at scarecrow video and we began in 1988 as a local video store, as so many of video stores did begin kind of in the 80s and the 90s now i'm.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,7,00:01:02.610,00:01:03.660,Beau Newsome,34 I think.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,8,00:01:03.690,00:01:05.130,Kate Barr,you're at all right.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,9,00:01:05.310,00:01:08.880,Kate Barr,"Oh really oh my gosh Okay, you have a speed by four.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,10,00:01:11.850,00:01:12.570,Beau Newsome,Times yeah.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,11,00:01:14.430,00:01:30.720,Kate Barr,And we we existed as a video store up until 2014 when we formed a nonprofit and then owner donated the entire collection and everything you can see all the shelves.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,12,00:01:30.780,00:01:36.150,Kate Barr,All the movies everything they just donated it to our nonprofit and we have.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,13,00:01:36.210,00:01:44.340,Kate Barr,become the stewards of this collection and part of the reason why we formed a nonprofit is because over the years.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,14,00:01:45.480,00:02:04.080,Kate Barr,"The scarecrow collection just grew and grew and grew and grew and grew until now it's one of the largest collections in the United States it's definitely one of the only well the largest collections, that is fully accessible to the public.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,15,00:02:04.200,00:02:04.890,Beau Newsome,which really.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,16,00:02:05.160,00:02:22.500,Kate Barr,"Something oh yes yeah, which is something we continue to strive for so normally collections of the sides are held by universities, because they're the ones that have the capacity to be able to manage it, and you know which is wonderful, because it allows for preservation.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,17,00:02:22.890,00:02:23.970,Kate Barr,Right that's the upside.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,18,00:02:24.180,00:02:26.730,Kate Barr,The downside is that for the average person.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,19,00:02:26.790,00:02:28.440,Kate Barr,You can't have access to that.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,20,00:02:30.030,00:02:31.260,Kate Barr,You know you'd have to be.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,21,00:02:32.970,00:02:49.710,Kate Barr,"A student or you know connected with the universe, whereas in for our collection anybody who walks through the door can set up a free rental account um and our entire collection is available for browsing and for checking out.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,22,00:02:49.740,00:02:53.430,Beau Newsome,So notice here have a really good online presence right can.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,23,00:02:53.490,00:03:06.210,Kate Barr,Well we're working on it okay it's not great it's okay um it's a little bit nine 20th century it needs to get modernized just a little bit.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,24,00:03:06.300,00:03:15.870,Kate Barr,Okay um and that's that's actually we're in the midst right now doing a really big fundraising campaign in order to raise money to update our infrastructure.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,25,00:03:15.990,00:03:18.660,Kate Barr,and get a get a much more modern.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,26,00:03:20.250,00:03:21.600,Kate Barr,Much more modern.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,27,00:03:24.300,00:03:41.190,Kate Barr,"architecture for our database to live, which can then interact online in a in a more seamless more 21st century kind of way, I guess, I I usually tell people if they're going to go on to the website to search our catalog online while you know get ready to get in a time machine and.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,28,00:03:42.840,00:03:43.980,Kate Barr,1990s.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,29,00:03:44.550,00:03:45.210,Kate Barr,It was built.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,30,00:03:45.840,00:03:47.610,Beau Newsome,In the most year catalog online.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,31,00:03:48.510,00:03:48.990,Beau Newsome,Your title.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,32,00:03:49.170,00:03:55.350,Kate Barr,Most of it yeah yeah it's there it's just it's just very limited and how you can search for it.,2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,33,00:03:55.530,00:03:56.970,Kate Barr,"it's a you know, like, if you think about.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
mainstreet016,34,00:03:57.660,00:04:01.950,Kate Barr,"The average library, and if you search for a title of the library.",2021-06-02_katebarr_scarecrow_videostore_transcript.vtt
