objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet009,1,00:00:00.000,00:00:13.139,Monique Lillard,"cord to the cloud takes just a second to kind of all right, I think we are recording my name is monique lillard and I am with the University of Idaho library doing an oral History project about the.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,2,00:00:13.590,00:00:22.380,Monique Lillard,"Video store that was in Moscow Idaho it was known as Howard Hughes video and excuse me, and then known as mainstreet video.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,3,00:00:23.700,00:00:27.660,Monique Lillard,It is Friday may 14 2021.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,4,00:00:28.770,00:00:33.690,Monique Lillard,"And I am talking to someone, I want to first say, have you signed the waiver release.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,5,00:00:34.320,00:00:34.950,Cody R. Moore,I have.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,6,00:00:35.040,00:00:36.780,Monique Lillard,"Okay, and can you state your name.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,7,00:00:37.230,00:00:38.130,Cody R. Moore,cody more.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,8,00:00:38.370,00:00:44.850,Monique Lillard,I right great and tell us what are your first memories of the video store here in town.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,9,00:00:45.840,00:00:50.700,Cody R. Moore,When a boy I they go back I they're not the.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,10,00:00:51.750,00:01:03.660,Cody R. Moore,"Just to be chronological I think they go back quite a ways I don't know how long that store has been in that location, but I am personally I grew up in pullman, and so I do remember going there.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,11,00:01:04.740,00:01:18.510,Cody R. Moore,"Is a kid or something long time ago, but but more more to the point when when my wife and I decided to move to Moscow and make a career change to go to law school.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,12,00:01:19.530,00:01:27.420,Cody R. Moore,"Video stores, one of the first sort of places that I stumbled into in downtown Moscow and it was one of the.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,13,00:01:29.040,00:01:44.970,Cody R. Moore,"One of the unique features that made downtown Moscow so special to to a lot of us, myself included, so yeah I would go in frequently probably not not every week but but more than the average person and and get movies and.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,14,00:01:46.020,00:01:55.320,Cody R. Moore,"And then, when we had children they're still young my daughter my oldest daughter seven, but when we had kids we would take them to the video store quite regularly, and so they had a little bit of a weird.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,15,00:01:56.430,00:02:07.410,Cody R. Moore,"Experience you know they would they thought any more going to the video store isn't isn't a regular thing, but my my kids would ask their friends if they go to the video stores to and, of course, nobody did.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,16,00:02:08.610,00:02:09.060,Cody R. Moore,So.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,17,00:02:09.870,00:02:11.730,Monique Lillard,"Now, are you remembering the store.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,18,00:02:11.760,00:02:16.560,Monique Lillard,On Main Street or the one that was on I think fifth and Washington across from the food co op.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,19,00:02:17.160,00:02:22.350,Cody R. Moore,yeah so the very I do remember a faint memory of the fifth and Washington store.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,20,00:02:23.520,00:02:29.220,Cody R. Moore,"a long, long time ago, I assume, but I, you know we didn't come over to give movies, that much so.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,21,00:02:30.090,00:02:32.970,Monique Lillard,yeah so it's mainly the one on Main Street you're thinking of.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,22,00:02:33.210,00:02:36.450,Cody R. Moore,yeah yeah yeah right downtown yeah.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,23,00:02:36.510,00:02:37.620,Monique Lillard,What do you think of the collection.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,24,00:02:39.150,00:02:39.870,Cody R. Moore,um.,2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,25,00:02:41.310,00:02:55.590,Cody R. Moore,"yeah it's great I don't know what to say about that other than it was immense I mean later obviously we'll discuss I think I discovered, it contains 30,000 DVDs I had no idea was that large, but no, it was just so great it the.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,26,00:02:56.700,00:03:11.190,Cody R. Moore,"Like any video store if you went to get a new release you might want to try to get there earlier or get there first but that wasn't the main draw for me, the main draw was being able to get older films and a you know great collection of.",2021-05-14_codymoore_videostore_transcript.vtt
mainstreet009,27,00:03:12.510,00:03:20.700,Cody R. Moore,"sort of arthouse films and classics and westerns and in some foreign films as well, and so I actually.",2021-05-14_codymoore_videostore_transcript.vtt
