objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet018,1,00:00:03.750,00:00:12.719,Monique Lillard,"And it seems to say it's recording, so I will say I am monique lillard I am doing interviews, on behalf of the University of Idaho library.",2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,2,00:00:13.139,00:00:30.300,Monique Lillard,to form an oral history for the local video store known as Howard Hughes video and then known as mainstream video co-operative today is June 7 2021 and I am sitting here with two people who will introduce themselves in just a moment.,2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,3,00:00:31.470,00:00:37.980,Monique Lillard,"First, I want to ask you both and i'm going to turn this to you now so go ahead and adjust it but look the way we want to go.",2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,4,00:00:40.200,00:00:52.980,Monique Lillard,"Very good Okay, have you sign the waiver release, yes, can you introduce yourself say your names i'm cancelling bird and then his wife carrie sailor.",2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,5,00:00:55.020,00:01:05.610,Monique Lillard,Can you tell me and either one of you can start talking first how did you first encounter the video store knows how to use video.,2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,6,00:01:07.920,00:01:24.720,Monique Lillard,I first came to Moscow in 1972 as a freshman at the University of Idaho and I have left and come back for different times and I suspect that.,2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,7,00:01:25.260,00:01:59.670,Monique Lillard,"I first encountered a V eh sm Betamax video store located on Main Street in the 200 block near and I think it's where the colors creek winery is now that wasn't video store after it was created in store for men, there was another vhs beta store on North main near what is now.",2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,8,00:02:00.810,00:02:06.300,Monique Lillard,I think it's the Polish the animal wellness and surgery Center.,2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,9,00:02:07.650,00:02:14.670,Monique Lillard,And there was a third one on the pullman highway where the laundromat is.,2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
mainstreet018,10,00:02:15.900,00:02:28.110,Monique Lillard,"sort of between asbury and lily street so for a time in the 70s and early 80s, there were multiple video stores operating in Glasgow.",2021-06-07_kentonbird_gerrisayler_videostore_transcript.vtt
