objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet008,1,00:00:00.089,00:00:00.989,Monique Lillard,takes a second.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,2,00:00:02.850,00:00:11.280,Monique Lillard,"Okay, now it says it's recording and that's that little thing up there, and so from time to time I get nervous, especially right after you say something great and i'll see still recording is it still recording.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,3,00:00:12.330,00:00:13.590,Monique Lillard,you'll be free of that tension.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,4,00:00:18.420,00:00:28.740,Monique Lillard,Okay i'm monique lillard and i'm an interviewer for the University of Idaho libraries oral History project concerning the video store in downtown Moscow Idaho.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,5,00:00:29.400,00:00:43.590,Monique Lillard,"Today is June 25 2021 and I am sitting here with three of the four members of the family, I think we're going to get the fourth Member into talk sometime very soon, we hope.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,6,00:00:44.100,00:00:48.180,Monique Lillard,They are going to introduce themselves in just a moment.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,7,00:00:48.960,00:00:55.500,Monique Lillard,"In fact, you know what i'm going to have you do is i'm going to have you introduce yourselves and at the same time, maybe you could tell me that you have signed the waiver.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,8,00:00:56.250,00:01:08.640,Monique Lillard,"Okay, but that way you pronounce your own names i'm doing this with everybody, including people with names like john Smith, because Lo and behold whole bunch of people pronounce the names differently from the way I thought there pronounce the last 30 years.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,9,00:01:10.530,00:01:11.220,Monique Lillard,All right.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,10,00:01:12.900,00:01:15.690,Monique Lillard,"You can adjust this get it where you want it, and then you can.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,11,00:01:16.710,00:01:20.550,Monique Lillard,You can say who you are say that you've signed the.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,12,00:01:21.840,00:01:28.950,Monique Lillard,"The waiver and then, if you look, I think you were all your own mainly customers of the video store so good.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,13,00:01:31.980,00:01:39.150,Monique Lillard,"them I signed a waiver, and I was a customer at the store, as well as sorted through many of their DVDs of the Community.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,14,00:01:40.200,00:01:44.520,Monique Lillard,"And Annemarie full, for I was a customer at the store and I find my way for.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,15,00:01:45.540,00:01:52.890,Monique Lillard,me around the link on the customer at the store and also sign the waiver very good alright sorry when angry and see.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,16,00:01:54.000,00:02:04.680,Monique Lillard,"How and when did you first find out about the video rental store in Moscow, and can you describe those early experiences and then, as they move on, through the years the free to stay with everybody.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,17,00:02:05.730,00:02:13.560,Monique Lillard,"I think we moved here when he moved here in 1994 and, at the time, everybody had a.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,18,00:02:15.750,00:02:27.630,Monique Lillard,"Visa is required, yes and and it was just natural you just assume that there was a video store in town and we've come from Davis, and we used to.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,19,00:02:28.710,00:02:44.820,Monique Lillard,"Like to go to a local store rather than one of the the chains, and so we we start out with whether there was a local business in town renting out movies yeah, I think, from our views as well as.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,20,00:02:46.410,00:02:54.420,Monique Lillard,"Those a store near jack in the box and those are the two places I went especially that first year right, and in that first year.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,21,00:02:54.840,00:03:05.850,Monique Lillard,"I wasn't living here yet so Neil was so when I came my just tended to go to the same place where I started, going so I don't I never really rented anywhere else.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,22,00:03:06.780,00:03:19.260,Monique Lillard,"Maybe went to blockbuster or whatever the other name of the video store in the safeway mall a couple of times, but they probably couldn't find what we wanted to tell us.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,23,00:03:20.490,00:03:25.440,Monique Lillard,What was special about Howard Hughes when you remember the store you described it.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,24,00:03:27.540,00:03:36.690,Monique Lillard,It was it was located at the time of the corner and Washington right and so what's the entire Howard Hughes.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,25,00:03:40.440,00:03:42.180,Monique Lillard,empire yeah.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,26,00:03:43.590,00:03:44.280,Monique Lillard,and,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,27,00:03:45.330,00:03:49.230,Monique Lillard,So you can go there and you could shop for.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,28,00:03:51.810,00:03:54.390,Monique Lillard,A dishwasher or French movie.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,29,00:03:56.820,00:03:57.780,Monique Lillard,But I.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,30,00:04:00.240,00:04:10.470,Monique Lillard,"I had to say this, it doesn't sound wrong, I mean it was always a clean store but it just had more of a homey feel, not a to.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,31,00:04:12.450,00:04:14.940,Monique Lillard,Clinical feel like like many.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,32,00:04:16.500,00:04:20.040,Monique Lillard,Trains do where they are everybody looks the same so.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,33,00:04:21.390,00:04:28.470,Monique Lillard,"I just thought, more focused on the convenience, because it was so cool, because just downtown and close to our place so you could.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,34,00:04:29.100,00:04:39.360,Monique Lillard,"walk home if you wanted, or is it very short drive drove there and they had most of the movies, I wanted to see, and so I know when we.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,35,00:04:39.930,00:04:56.850,Monique Lillard,"started watching the sopranos we were able to get episodes usually, when we wanted them not have to wait forever, and so I think it's really an HBO because that was right that was expensive, but we could we if we were willing to wait.",2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,36,00:04:58.050,00:05:00.690,Monique Lillard,We could save a lot of money by renting.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,37,00:05:02.250,00:05:06.150,Monique Lillard,The TV TV the vhs or the DVDs eventually.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
mainstreet008,38,00:05:07.560,00:05:08.490,,TV shows.,2021-06-25_benramalingam_annmariefulfer_sunilramalingam_videostore_transcript.vtt
