objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet014,1,00:00:01.740,00:00:02.280,Howard Hughes,Okay well.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,2,00:00:02.850,00:00:04.620,Howard Hughes,here's one you'll recognize rhonda.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,3,00:00:04.920,00:00:06.600,Beau Newsome,"Oh yeah there, she is.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,4,00:00:08.670,00:00:09.360,Beau Newsome,that's cool.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,5,00:00:09.870,00:00:10.139,,yeah.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,6,00:00:11.550,00:00:15.960,Beau Newsome,Well yeah just my name is Bo newsome i'm here with the University of Idaho library.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,7,00:00:17.279,00:00:24.330,Beau Newsome,we're doing a oral History project on Howard Hughes video and the main street video co op.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,8,00:00:25.350,00:00:36.270,Beau Newsome,"And i'm here with our to use the namesake of the store so Howard, if you could just introduce yourself and say tell us a little bit about how things started.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,9,00:00:37.980,00:00:48.600,Howard Hughes,Well i'm Howard Hughes and I opened Howard Hughes appliance TV and video in 1978 on North main.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,10,00:00:49.620,00:00:57.420,Howard Hughes,at which time we were selling the bh the H s tapes blank tapes.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,11,00:00:57.690,00:00:58.710,Howard Hughes,And chains.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,12,00:00:59.040,00:01:05.370,Howard Hughes,"But we weren't doing in your any we kind of got into that gradually, we had a few.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,13,00:01:06.870,00:01:18.540,Howard Hughes,"People that were by buying video recorders and video cameras from us, and so, at that time, Moscow had five video stores video rental stores.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,14,00:01:19.170,00:01:20.610,Beau Newsome,"Do you remember, which ones, they were.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,15,00:01:21.090,00:01:22.440,Howard Hughes,"Well, they were there was.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,16,00:01:23.520,00:01:26.490,Beau Newsome,tier video was there were there were two tr videos.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,17,00:01:26.970,00:01:42.570,Howard Hughes,One was out at seaside marketplace and the other one was downtown on third street where that chocolate store is right now and then safeway had had a department and then there was another one downtown next to the first security bank.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,18,00:01:44.250,00:01:45.450,Howard Hughes,which went out of business.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,19,00:01:46.950,00:01:53.190,Howard Hughes,So in 1983 we move to the police empire mall and at that time.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,20,00:01:54.480,00:01:59.100,Howard Hughes,"One of the video stores downtown went out of business, so I.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,21,00:02:00.300,00:02:05.670,Howard Hughes,I bought 100 to vhs tapes and we didn't have any wall to put them on.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,22,00:02:06.060,00:02:07.740,Beau Newsome,So wonder where you bought them from.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,23,00:02:08.340,00:02:09.630,Howard Hughes,"Oh, we bought it from a distributor.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,24,00:02:09.930,00:02:11.010,Howard Hughes,"Okay, and.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,25,00:02:12.120,00:02:23.130,Howard Hughes,"So we put the covers in books, and so we ended up, we were renting a lot of lot of tape so we had the guy calling on us monthly and.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,26,00:02:24.480,00:02:34.650,Howard Hughes,We had all these books and people were fighting over the book so Finally we bought the old morts Club in downtown and we moved there in 1987.,2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,27,00:02:35.670,00:02:44.640,Howard Hughes,"And there was an Gerald parkin's had his Legal Office in that building, so they dumped me there on July, the first with everything from the mall.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,28,00:02:45.270,00:03:00.180,Howard Hughes,"And my partner don frye did farming, so he left for the for the season, and there I was So the first thing I did I call care appeals Dennis D co and I ordered 100 hundred.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,29,00:03:01.470,00:03:14.580,Howard Hughes,"One minute spots for July, the first Thursday I was there alone and I had a box of all these tapes sitting there in this empty room and I rented everyone i'm for a buck apiece didn't make money but.",2021-05-13_howardhughes_videostore_transcript.vtt
mainstreet014,30,00:03:15.720,00:03:35.040,Howard Hughes,The hospital was very close and you know they're open 24 seven so we started immediately building places to put tapes in that that whole office structure and within two weeks we had filled it and I had bought enough tape to fill out that thing and so.,2021-05-13_howardhughes_videostore_transcript.vtt
