objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet028,1,00:00:00.269,00:00:24.210,Monique Lillard,"cloud takes just a minute there we go, we are recording it is Sunday April 25 2021 this is part of the University of Idaho library oral History project regarding the video rental store in Moscow Idaho sometimes called Howard Hughes and then it became mainstream video co op.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,2,00:00:27.210,00:00:30.180,Monique Lillard,Could you state your name for the recording.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,3,00:00:31.020,00:00:34.320,Monique Lillard,kristin kristin at what and have you signed the release.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,4,00:00:34.860,00:00:43.410,Monique Lillard,"Yes, excellent, very good, can you just briefly describe your relationship with Howard Hughes video then i'll ask you questions that kind of take you through that.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,5,00:00:44.340,00:00:51.510,Christen Atwood,"um yeah I rented there all the time when I was in college when I used to live here, and when I moved back.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,6,00:00:54.480,00:00:56.400,Christen Atwood,Still continued to rent.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,7,00:00:57.630,00:01:02.910,Christen Atwood,And through Andrea Beckett heard that it was kind of struggling.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,8,00:01:04.050,00:01:11.490,Christen Atwood,"And wanted to help, and then I became a board member so but through that I continue to rent movies there because I loved the store.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,9,00:01:11.820,00:01:15.420,Monique Lillard,"Great well let's start by talking about you, as a customer.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,10,00:01:15.630,00:01:17.520,Christen Atwood,And then move to you as a board member.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,11,00:01:17.700,00:01:18.660,Monique Lillard,Okay sounds good.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,12,00:01:18.960,00:01:25.380,Monique Lillard,yeah great so how and when did you first find out about this particular video rental store.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,13,00:01:26.580,00:01:30.060,Christen Atwood,"In college, you know I don't remember specifically.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,14,00:01:30.540,00:01:31.560,Monique Lillard,You are going to do if I.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,15,00:01:32.130,00:01:35.700,Christen Atwood,yeah it was you know I started in 2000 so.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,16,00:01:37.620,00:01:42.270,Christen Atwood,"I don't remember 20 years ago when I first saw it, but it was when it was.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,17,00:01:44.040,00:01:45.000,Christen Atwood,Where.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,18,00:01:46.470,00:01:48.990,Christen Atwood,just north of the current co op right now.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,19,00:01:50.280,00:01:58.920,Christen Atwood,"That was its location and yeah, I just wanted to support the local place and rent movies and appreciated.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,20,00:02:00.060,00:02:10.020,Christen Atwood,You know the way that it was categorized with the award winners and directors and actors and things like that I thought it was really clever and quirky and.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,21,00:02:11.640,00:02:15.180,Christen Atwood,Just appreciated that you know little extra yeah.,2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,22,00:02:15.270,00:02:23.460,Monique Lillard,"yeah I know exactly what you mean, and it does dawn on me, I think we're missing the beginning of the Academy awards, even as we're speaking, right now, so are you finding to watch him tonight.",2021-04-25_christenatwood_videostore_transcript.vtt
mainstreet028,23,00:02:24.090,00:02:28.440,Christen Atwood,i'm probably not I don't have means to watch them.,2021-04-25_christenatwood_videostore_transcript.vtt
