copied_text,timestamp,speaker,words,tags
0:01,0:01,Beau Newsome, Okay.,
0:03,0:03,Beau Newsome, So you're a little record button up there.,
0:05,0:05,Jamie Hill, yeah says he's going.,
0:07,0:07,Beau Newsome, Alright we're recording low newsome and i'm here with the University of Idaho library archives and special collections department.,
0:15,0:15,Beau Newsome," Here, with Jamie.",
0:18,0:18,Beau Newsome,"Jamie and I worked together at the Howard Hughes video.",
0:22,0:22,Beau Newsome,"And this is for Howard Hughes video mainstream video co op, this is an oral History project that the ui libraries doing so Jamie if you wouldn't mind reiterating your name and just do a little brief description of how you came about.",
0:39,0:39,Beau Newsome, To work at the video store.,
0:41,0:41,Jamie Hill," store, so my name is Jamie Hill and I was a long time Howard Hughes Member and I think I signed up at Howard Hughes the store on fifth street when I was in college.",
0:57,0:57,Jamie Hill, And was a pretty loyal renter and then I started both talk to me and so working at the store and taking over as him for manager when he transitioned out which.,
1:09,1:09,Jamie Hill," was a really weird time for the store, so I kind of was doing my full time job and that full time job and getting to know the management and their styles and then was really behind is the push to turn the video store into a cooperative.",
1:26,1:26,Jamie Hill, and which involves lots of conversations.,
1:28,1:28,With.,,
1:30,1:30,Jamie Hill," Current owners new owners, all of the creation of the 501 C three so I was around for all of that.",
1:36,1:36,Jamie Hill, i'm on the paperwork for the state or creating that cooperative board and everything so.,
1:43,1:43,Beau Newsome, well.,
1:44,1:44,Jamie Hill, Okay yeah little bit of all of it.,
1:46,1:46,Beau Newsome, yeah just so little bits and pieces of it all.,
1:50,1:50,Beau Newsome, yeah cuz I kind of.,
1:52,1:52,Beau Newsome, missed out on a lot of this co op stuff so that's why we also have monique lillard.,
1:59,1:59,Beau Newsome," Doing interviews as well, so cuz she was more on the the core of it yeah.",
2:05,2:05,Jamie Hill, Right yeah he's he was one of the first people and assign on that make sure that happen.,
2:11,2:11,Beau Newsome, So what brought you to Moscow was a ui.,
2:15,2:15,Jamie Hill, yeah came up here in 2005 to go to college born and raised and all there was no question that there was going to be anything else.,
2:24,2:24,Beau Newsome, alumni family.,
2:25,2:25,Jamie Hill, yeah yep.,
2:27,2:27,Beau Newsome, Sorry southern Idaho.,
2:29,2:29,Jamie Hill, Southern Idaho.,
2:30,2:30,Jamie Hill, four hours.,
2:32,2:32,Jamie Hill," So I been coming up here, since I was you, I think I gave my first campus tour in about four.",
2:37,2:37,Jamie Hill, Oh.,
2:38,2:38,Beau Newsome, I love to hear when southern Idaho people come up it's like they grew up knowing about the vandals not.,
2:45,2:45,Beau Newsome, Other colleges you.,
2:47,2:47,Jamie Hill," know you watch the news, then you go, why are you talking about them.",
2:51,2:51,Right.,,
2:52,2:52,Beau Newsome," So then, when you got to ui.",
2:55,2:55,Beau Newsome, Did you.,
2:58,2:58,Beau Newsome, I guess remove strictly the video our to use video or did you shop around or.,
3:04,3:04,Jamie Hill," uh yeah I mean we had at the time we have Hastings and how are you use and I kind of stumbled into Howard Hughes one day and was like Oh, this is exactly like my hometown video store and it It made me feel like home except they have a bigger collection and.",
3:22,3:22,Jamie Hill, Even then.,
3:23,3:23,Jamie Hill," yeah okay my hometown store probably had like 500 titles, maybe.",
3:28,3:28,Jamie Hill, So um.,
3:30,3:30,Beau Newsome," Do you remember the name of it, video store.",
3:32,3:32,Jamie Hill, it's showtime.,
3:34,3:34,Jamie Hill, showtime video.,
3:36,3:36,Beau Newsome, showtime video that's cool.,
3:37,3:37,yeah.,,
3:39,3:39,Jamie Hill," yeah so um I know I, it was my freshman year I don't exactly remember when, but I think I just kind of wandered in and didn't really leave after that.",
3:51,3:51,Beau Newsome," No word of mouth just kind of like, and this was the fifth street address right.",
3:56,3:56,Jamie Hill, yeah yeah when this free to drive.,
3:58,3:58,Jamie Hill," Or, nobody had.",
3:59,3:59,Jamie Hill," Nobody told me about it, I just wandered in and then promptly went back home and told everybody about it, and I know I was one of those who, like everyone in their mom was using my account number.",
4:12,4:12,Beau Newsome," Oh, really.",
4:13,4:13,Jamie Hill, yeah.,
4:14,4:14,Beau Newsome, Do you have your account number.,
4:16,4:16,Jamie Hill," I it was something really low like somebody had died or something, and so my account, I think it was 40.",
4:23,4:23,Beau Newsome, No way.,
4:23,4:23,Jamie Hill, And I was like how do I have a double digit number.,
4:27,4:27,Jamie Hill," But they were like Oh, are we using them.",
4:29,4:29,Beau Newsome, yeah I know they they reset at one point because we're mine was a five digit number.,
4:35,4:35,Beau Newsome," yeah there was people just walking in new customers, they were like oh we're 35 now or something like.",
4:40,4:40,Jamie Hill," yeah yeah it was really weird and then, when we.",
4:45,4:45,Jamie Hill," I left after college and then, when I came back, I was like I have no idea what my number is so here's my phone number which hasn't changed since I was 15.",
4:54,4:54,Jamie Hill, Oh.,
4:54,4:54,Jamie Hill," yeah i'll use this and it wasn't until working at the store that I looked it up, and I was like oh yeah.",
5:01,5:01,Okay.,,
5:03,5:03,Beau Newsome," Oh, so you you've graduated and then moved away.",
5:06,5:06,Jamie Hill, For a little bit huh yep yep I was gone for about three and a half years and then came back.,
5:13,5:13,Beau Newsome," Okay, what.",
5:16,5:16,Beau Newsome," What kind of made it unique, if you remember just some of the.",
5:21,5:21,Jamie Hill," I think it was definitely the selection made it unique and like I said I mean it felt like home for me, and so I I was not the shopper who was like well i've never seen one of these, this is totally different and, for me, I was like oh good a video store.",
5:37,5:37,Jamie Hill," And I also really loved I a lot of the classes, I took were.",
5:42,5:42,Jamie Hill, Film classes or English classes and so.,
5:45,5:45,Jamie Hill," Everything I needed for those classes was there, so you know the weird avant garde cinema and the new are and all of the European cinema was all there and it and if it wasn't usually somebody was willing to make sure it got there.",
6:00,6:00,Beau Newsome," yeah yeah we've talked about that a little bit like me and some other workers there and stuff like took pride and if we didn't have it we try our hardest to get it, you know.",
6:11,6:11,Beau Newsome," yeah even if one person asked for it, you know.",
6:13,6:13,Jamie Hill, that's enough.,
6:15,6:15,yeah.,,
6:18,6:18,Beau Newsome, So did you.,
6:21,6:21,Beau Newsome, So you notice probably some changes over the years of the video store.,
6:26,6:26,Beau Newsome, As a.,
6:28,6:28,Beau Newsome, As a customer did it change a whole lot that you noticed.,
6:33,6:33,Jamie Hill," I think, as a customer and.",
6:38,6:38,Jamie Hill, It felt pretty consistent to me and I do remember like when the five for five for five started five movies five bucks five days like that was.,
6:48,6:48,Jamie Hill, Something that was really noticeable and my brain automatically was like this is genius marketing and he should be doing more of this This is great yeah.,
6:56,6:56,Jamie Hill, um.,
6:57,6:57,Jamie Hill," But other than that, I mean customer wise I.",
7:00,7:00,Jamie Hill, It was it was always the same solid video store yeah.,
7:05,7:05,Beau Newsome," yeah I think we there's so many different iterations of deals, and it was like dollar tuesday's dollar.",
7:12,7:12,Beau Newsome, raise dollar Tuesday and Thursdays and then.,
7:15,7:15,Beau Newsome, Then it was five for five for the longest time.,
7:18,7:18,Beau Newsome," yeah, then I think when maybe you started working there.",
7:23,7:23,Beau Newsome, We had gone to.,
7:25,7:25,Jamie Hill, buy it was has been.,
7:26,7:26,Jamie Hill, Five movies for $7 for seven days.,
7:29,7:29,Beau Newsome, yeah yeah.,
7:30,7:30,Jamie Hill, which was like didn't roll off the tongue.,
7:34,7:34,Jamie Hill, No.,
7:35,7:35,Beau Newsome, I wanted it to be 5755 movies.,
7:39,7:39,Beau Newsome, $7 five days yeah yeah.,
7:42,7:42,Beau Newsome, yeah we also thought that the seven days would help people remember like when they get movies kind of thing.,
7:49,7:49,Jamie Hill, It was really nice to hand movies to people and be like you have a day.,
7:53,7:53,Beau Newsome, Right bring him back this time.,
7:56,7:56,Beau Newsome, In one week yeah.,
7:57,7:57,Beau Newsome, yeah instead of doing the five day mass or they're like okay.,
8:01,8:01,Jamie Hill, Does that does that mean to us today count.,
8:03,8:03,Beau Newsome, yeah yeah so that was a little bit easier.,
8:09,8:09,Beau Newsome, And do you remember as a customer the store changing from the fifth street to Main Street.,
8:16,8:16,Jamie Hill, I don't I think.,
8:19,8:19,Jamie Hill," It either happened, like my senior year while I was student teaching or while I was gone, but when I came back to my school, it was on Main Street.",
8:28,8:28,Okay.,,
8:30,8:30,Beau Newsome," And how shortly after you came back, did you start working at kenworthy.",
8:34,8:34,Jamie Hill," um I was in town for about six months, and then I started working at the Kennedy so I started there in March of 2013.",
8:46,8:46,Okay.,,
8:50,8:50,Jamie Hill, yep.,
8:50,8:50,Beau Newsome, And you have you always known about the team we've we've talked about the kenworthy a lot on this these interviews and stuff but.,
8:57,8:57,Beau Newsome, Pretty you.,
8:58,8:58,Beau Newsome, Know it's just a local well I guess you can explain it a little bit better what can we.,
9:02,9:02,Jamie Hill, do that.,
9:03,9:03,Jamie Hill," The kenworthy is a nonprofit performing arts Center and we show movies, we do live theater we do.",
9:10,9:10,Jamie Hill, streamed content from London and New York we basically provide high quality arts entertainment that you can't find anywhere else on the loose.,
9:18,9:18,Jamie Hill," So I I had been to the camera, the number of times in college at that time they were only open one or two days a week, and so I had been to a ton of wes Anderson movies i've been to a lot of foreign films, with the kenworthy for extra credit.",
9:34,9:34,Jamie Hill," i've been to probably three concerts there and then by the time I started in 2013 we were fully open a solid four days a week, sometimes up to seven and now it's 2021 and we are open consistently, seven days a week, not counting COPA.",
9:50,9:50,Beau Newsome, yeah okay yeah I always thought the kenworthy in the video store we're just need.,
9:57,9:57,Beau Newsome, stores to have close to each other.,
9:59,9:59,Beau Newsome, yeah and especially.,
10:01,10:01,Beau Newsome, You know.,
10:01,10:01,Beau Newsome, few doors down basically.,
10:04,10:04,Jamie Hill," And I know that can where they always appreciated that relationship, because we could you know run down the street, if something happened to our movie that we were showing or.",
10:14,10:14,Jamie Hill," There was a point where our projector decided to stop working and we needed to do something else for the weekend, and so we just ran down the street and said, what can we show for free, this weekend and.",
10:24,10:24,Jamie Hill, We were always able to find something you know if we had people who ran to the theater they'd say I really want to show the goonies but I don't have a copy of a copy and we'd be like yep.,
10:33,10:33,Beau Newsome, We do.,
10:33,10:33,A minute.,,
10:36,10:36,Beau Newsome," There we have a whole we have about 35,000 titles, we can choose.",
10:40,10:40,Jamie Hill, yeah yeah yeah and I know i'm pat and I talked about that a lot to kind of symbiotic relationship of having like we we could promote the the video store and did on our marketing so.,
