objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet019,1,00:00:01.140,00:00:18.150,Monique Lillard,"Okay, we are recording for the record, it is April 2 2021 I am doing a recording for the University of Idaho oral History project concerning the video rental store in Moscow Idaho.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,2,00:00:22.260,00:00:26.940,Monique Lillard,"i'm speaking with well why don't you say your name so for the record, why don't you say.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,3,00:00:27.030,00:00:41.010,Lauretta Campbell,"yeah my name is Lauretta Campbell and I served on a couple different positions with the board, and I was also a an owner of the video co op and a frequency of the video quality.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,4,00:00:41.430,00:00:48.960,Monique Lillard,"Very good, very good and again, for the record I need to ask, have you sign the waiver release that I sent you.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,5,00:00:49.230,00:00:50.310,Monique Lillard,I think the answer is yes.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,6,00:00:50.460,00:00:51.570,Monique Lillard,"Okay, very good.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,7,00:00:53.880,00:00:56.880,Monique Lillard,"All right, you're already ahead of me I wanted to just say to you that.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,8,00:00:58.620,00:01:06.810,Monique Lillard,"We can meet again if you wish to say anything else, or, if you wish to correct anything, and you can review this video you can review the transcript you can do whatever you want, you can make.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,9,00:01:06.810,00:01:09.660,Monique Lillard,Corrections so just go ahead and talk and you know what.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,10,00:01:09.840,00:01:11.760,Monique Lillard,"we'll just take it from there, which I think is cool.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,11,00:01:12.810,00:01:21.120,Monique Lillard,Can you described your general a relationship to the video co op going back to just you as a patron you as a customer.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,12,00:01:22.230,00:01:28.350,Monique Lillard,"How and when did you first go to the video store was it was then Howard Hughes video, I think.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,13,00:01:28.380,00:01:30.840,Monique Lillard,"How did you first go there, where was it what.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,14,00:01:30.840,00:01:32.640,Monique Lillard,Are your memories and so forth.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,15,00:01:33.450,00:01:47.070,Lauretta Campbell,"So my memories are we went there as a family, when I was a little kid and we moved to this area when I was probably I think I was 12 and it was really common to have video stores, then I remember.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,16,00:01:47.070,00:01:49.080,Lauretta Campbell,We had a blockbuster in town as well.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,17,00:01:49.860,00:01:55.680,Lauretta Campbell,"And then we had Howard Hughes video, and when I started renting videos the BC ours and.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,18,00:01:57.420,00:02:09.840,Lauretta Campbell,"And the tapes that went with them and everything that was that was how you rented videos the DVDs weren't even really on the scene, yet, and the video store at the time was.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,19,00:02:10.470,00:02:24.210,Lauretta Campbell,"i'm trying to remember, I feel like it had just moved, but I don't think it had moved, I think it had moved prior to us moving to town, and it was across the street, from where the video or where the food co op is now.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,20,00:02:24.960,00:02:26.460,Monique Lillard,Your wasn't so the north of it.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,21,00:02:26.820,00:02:29.220,Lauretta Campbell,This was 1999 2000.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,22,00:02:29.490,00:02:32.730,Lauretta Campbell,Okay yeah yeah so I remember going in there and.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,23,00:02:34.830,00:02:44.250,Lauretta Campbell,"It was, I mean that whole space i'm thinking of it, right now, I think, is it over 1400 square feet, so I mean just chock full of videos and.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,24,00:02:44.640,00:02:54.840,Lauretta Campbell,You could ask what you want it and they had posters up on the wall and they had collages that were made from posters up on the wall and and everything like that so.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,25,00:02:55.230,00:03:08.460,Lauretta Campbell,"And that was when they had, I mean the the the tapes were so big but they had things organized, not only by like section, but also by actor, so if you had an actor, you could go and like see the entire genre that they had done so.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,26,00:03:09.030,00:03:12.780,Monique Lillard,I remember that too yeah how often did you visit the store.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,27,00:03:14.370,00:03:24.840,Lauretta Campbell,And we go multiple times a month that's for sure I mean i'm the oldest and it was something you know we have school and everything so it's not like we we couldn't.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,28,00:03:25.260,00:03:30.300,Lauretta Campbell,"Get videos whenever we wanted, because we had school but yeah we were probably going.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,29,00:03:30.900,00:03:41.370,Lauretta Campbell,"If not, every Friday or sometime on the weekend, probably almost every other because it was just a fun thing to do, and then growing up, we had bunny ears for the TV, so we had PBS.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,30,00:03:42.330,00:03:49.980,Lauretta Campbell,"But that was about it, so if we wanted to watch other videos, we would, especially the new releases or things like that we would go to enter and spread them from the video store.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,31,00:03:50.820,00:03:52.530,Monique Lillard,Did you go to the movie theater as well.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,32,00:03:53.940,00:04:13.080,Lauretta Campbell,"yeah um I don't really remember what we would go and see, but we also we would I most of my movie consumption, I would say it's definitely been at home, not like seen movies, was a nice thing to do, but it would be like a holiday thing or birthday type thing not so much.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,33,00:04:14.490,00:04:29.310,Lauretta Campbell,Like a rent like going to that's where you'd see and experience that movie in the theater that's never been something my family's really done we've always been more of like watching videos at home and fetching out and getting comfortable and everything like that yeah.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,34,00:04:29.550,00:04:34.020,Monique Lillard,"Okay, so what was your favorite section, you will not be forever judged on this.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,35,00:04:34.200,00:04:35.790,Lauretta Campbell,Oh i'm.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,36,00:04:37.770,00:04:39.150,Lauretta Campbell,Trying to think like.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,37,00:04:41.130,00:04:53.340,Lauretta Campbell,"I i've always um I don't know I it's everything of like old movies, like Marx brothers and probably my favorite movie is that then man series.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,38,00:04:54.420,00:05:07.620,Lauretta Campbell,"But we grew up on Casa Blanca and a lot of old movies, like that, and really that's because we just didn't have TV growing up as kids so that's what the library had so that's what we grew up watching with our parents and my parents have also always been really good with.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,39,00:05:08.670,00:05:15.390,Lauretta Campbell,kind of putting a couple ash on things that they don't find entertaining so they have they have a very.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,40,00:05:16.440,00:05:19.980,Lauretta Campbell,"wide range that they like, but things that are.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,41,00:05:21.000,00:05:36.330,Lauretta Campbell,"Like I remember what is it beavis and butthead my dad was like this is just a dumb movie I do not want to watch this but crocodile Dundee was Okay, so it would just be it would just be kind of things like that, where the main focus was watching things together as much as we could.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,42,00:05:38.010,00:05:52.170,Lauretta Campbell,"But yeah I mean, I think it was mainly the classics and then like comic books which are not we're not anywhere as huge as they are now but and then James Bond That was really big in our our family so.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,43,00:05:53.490,00:05:54.750,Monique Lillard,It was a family event.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,44,00:05:55.260,00:05:56.100,Lauretta Campbell,that's what yeah.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,45,00:05:56.790,00:06:01.980,Lauretta Campbell,"yeah yeah a lot of it, because you couldn't like you could usually get one video maybe because they.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,46,00:06:02.520,00:06:12.090,Lauretta Campbell,"Were I always remember, they would do a deal like seven movies, for five bucks or something like that there's always some kind of package deal so that was enough for everyone in the family to usually get at least a movie.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,47,00:06:12.600,00:06:14.670,Lauretta Campbell,"And so you could pick you know, we had.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,48,00:06:15.060,00:06:30.360,Lauretta Campbell,"It was kind of like everyone could get a movie or we get like 14 movies, everyone can get their own movie and then, there have to be movies, that we knew everyone, or at least a couple other people in the family would like so then no one would kind of hijack the TV all weekend and everything.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,49,00:06:30.780,00:06:31.170,Monique Lillard,got it.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,50,00:06:31.230,00:06:31.500,Monique Lillard,got it.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,51,00:06:32.010,00:06:41.460,Monique Lillard,"yeah, why was the Howard Hughes store or was the Howard Hughes store different from the other video rental places in town Do you remember.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,52,00:06:41.490,00:06:52.830,Lauretta Campbell,"A bit a big one, was the selection there's just so much that we could get and again it would you could go in and consistently get something find find that everyone could get something they liked.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,53,00:06:54.210,00:07:10.890,Lauretta Campbell,"And it didn't really matter if it was a new release or an old movie or, that is, they had they had so much in this the whole catalog of it was so well developed and and kind of thought out that it yeah it just provided a really great resource.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,54,00:07:13.380,00:07:19.620,Monique Lillard,"And then, what did the video store change during the years, what are your what are your recollections about changes in the store.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,55,00:07:21.210,00:07:30.090,Lauretta Campbell,The big shift was going from the vhs is to the DVDs and just not needing the same amount of space and then with that.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,56,00:07:30.780,00:07:39.390,Lauretta Campbell,"More people with DVDs whether I don't know if they were cheaper or just that they were smaller, but it does seem like there started to be a shift.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,57,00:07:40.380,00:07:51.060,Lauretta Campbell,"towards watching more things at home that you own, and that was before streaming, though, so there was this kind of in between time where DVDs were going really well.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,58,00:07:51.510,00:08:01.350,Lauretta Campbell,"And it seemed like things were shifting, but it was still a really it was you just kind of shifted from getting a stack of vhs is to getting a stack of DVDs and.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,59,00:08:03.420,00:08:15.420,Lauretta Campbell,As far as like our video consumption that didn't change that much I feel we just things updated as we got older so less Disney more adventure things like that.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,60,00:08:17.010,00:08:21.570,Monique Lillard,And do you remember when it moved from that location to the main street location.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,61,00:08:22.350,00:08:38.640,Lauretta Campbell,"yeah I remember that specifically because the that's actually where I got the location, that it had moved to was actually where I got my first tattoo so I remember thinking oh it's kind of funny that a video store is now in where a tattoo parlor used to be.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,62,00:08:40.140,00:08:52.140,Lauretta Campbell,"And then the the painted and they they pick some very wild colors to paint and I remember thinking that's not quite what I would go with, but you know it's not my store so yeah.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,63,00:08:52.560,00:08:53.970,Monique Lillard,Little did you know right.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,64,00:08:54.180,00:08:57.720,Lauretta Campbell,"yeah yeah yeah and by that point, I was an adult then.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,65,00:08:58.560,00:09:07.020,Lauretta Campbell,"So it was still it wasn't I mean, I was in school, and I was working as well, so I wasn't renting videos every week, but it was definitely a nice.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,66,00:09:07.410,00:09:21.150,Lauretta Campbell,"thing to go in and it like if you had a video, especially if you paid for it, it would be something like Oh, I need to watch it and it would it kind of prompted like taking a break and watching a video, and that was always Nice.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,67,00:09:21.480,00:09:26.940,Monique Lillard,"Obvious Nice that is nice, then, do you remember the transition.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,68,00:09:28.200,00:09:36.510,Monique Lillard,"Well, were you part of the transition from the private ownership into the Co operative or did you come on to the board after that.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,69,00:09:37.050,00:09:44.160,Lauretta Campbell,"I came on to the board after that I was in I was an early owner of it, and I remember it was.",2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,70,00:09:45.120,00:09:51.030,Lauretta Campbell,It was dark so it must have been kind of wintery or fall because it was just dark outside.,2021-04-02_laurettacampbell_videostore_transcript.vtt
mainstreet019,71,00:09:51.390,00:10:08.580,Lauretta Campbell,"And there was a little pamphlet next to the register, saying that the owner would like to sell and this cooperative was forming and that it must have been actually around Christmas time because I I bought my dad a membership to the video store as a Christmas present and.",2021-04-02_laurettacampbell_videostore_transcript.vtt
