objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet031,1,00:00:01.800,00:00:02.790,,It takes a minute.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,2,00:00:04.710,00:00:13.920,Monique Lillard,"All right, we're recording i'm monique lillard and I am The interviewer for a series of interviews being done by the University of Idaho library.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,3,00:00:14.940,00:00:27.240,Monique Lillard,As part of an oral History project remembering the video rental store in downtown Moscow that was called Howard Hughes and then became called the Main Street video co op.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,4,00:00:28.260,00:00:40.560,Monique Lillard,It is June 29 I believe Jun 29th 2021 and so we're going to get started so have you signed the waiver and the release.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,5,00:00:40.890,00:00:41.370,Russell Meeuf,I have.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,6,00:00:41.550,00:00:47.730,Monique Lillard,Great it would you state your name and also state what describe what you teach at the University of Idaho.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,7,00:00:48.510,00:00:58.470,Russell Meeuf,So i'm Dr Russell made and I am a professor in the school of journalism and mass media at the University of Idaho and the director of our film and TV Program.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,8,00:00:59.160,00:01:09.570,Russell Meeuf,"So I teach classes on film history on popular culture, media studies issues of diversity, so basically anything having to do with the movies and popular culture.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,9,00:01:10.440,00:01:20.820,Monique Lillard,that's interesting do you teach people how to do movies produce them performing them is that what that it doesn't include that.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,10,00:01:20.970,00:01:31.710,Russell Meeuf,"it's both right so most of our students that are majors are training to be film and video professionals, so there, so the way we have classes in technical video production screen writing producing that kind of stuff.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,11,00:01:32.130,00:01:40.050,Russell Meeuf,And so my I teach some of the entry level classes on that where we're focusing on using cameras edit basic editing practices that kind of stuff.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,12,00:01:40.350,00:01:52.800,Russell Meeuf,"And then the film history classes are general film history classes, but are kind of geared towards producer, so that they can understand the history of filmmaking as a way to help them become more innovative as creative producers.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,13,00:01:53.040,00:01:55.770,Monique Lillard,That is wonderful I didn't know we even had those classes so.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,14,00:01:56.730,00:02:00.420,Monique Lillard,"I have more free time now, maybe someday i'll sign up for what that sounds wonderful.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,15,00:02:01.800,00:02:09.090,Monique Lillard,So let's start by talking about the video store how and when did you first find out about the video rental store and.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,16,00:02:09.150,00:02:12.720,Monique Lillard,Where was it located and if you could just talk generally about that.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,17,00:02:13.440,00:02:17.010,Russell Meeuf,yeah so I moved to Moscow in 2010.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,18,00:02:18.330,00:02:30.000,Russell Meeuf,"It to my partner and I took jobs at the University, and so I think I probably was I found out about the star fairly early on, obviously with the time it was it was just down the street from the kenworthy.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,19,00:02:30.420,00:02:42.540,Russell Meeuf,"The independent movie theater in town and it was pretty remarkable to see an independent video rental stores still operating, by the year 2010 obviously there had been a.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,20,00:02:43.650,00:02:57.690,Russell Meeuf,"A reckoning in the film industry in terms of how people got their movies, and this was in the middle of that moment, where I think at that time you could still get your DVDs by mail through netflix, but it was pretty widely getting into the streaming.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,21,00:02:58.770,00:03:09.150,Russell Meeuf,"streaming business at that time, and so that obviously had a huge impact on video rental stores, and so the fact that our small town had a video rental store was pretty impressive, in that it had a pretty.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,22,00:03:10.050,00:03:22.170,Russell Meeuf,"Robust clientele or have committed committed folks, and so I learned about it almost immediately, I was pretty impressed that we had one, and so I got my membership and headed down there and to check things out.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,23,00:03:22.800,00:03:26.070,Monique Lillard,"And what you think of the store, but what struck you about the store.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,24,00:03:26.970,00:03:38.100,Russell Meeuf,"yeah I mean honestly in 2010 it was still a bit of a throwback right, it was like a nostalgic experience that I hadn't had in a long while, so when I lived in.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,25,00:03:39.660,00:03:41.700,Russell Meeuf,was doing my graduate work in eugene Oregon.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,26,00:03:42.360,00:03:55.440,Russell Meeuf,"There may have been a few kind of small places that were still operating, but nothing like a you know you know by that time it was there weren't really many blockbusters left, and so it reminded me a lot of my childhood.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,27,00:03:56.250,00:04:06.300,Russell Meeuf,"As you know, being able to go in there and it was a great space to write like so and I think that's one of the nice things about the independent stores right, so you go to the blockbusters.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,28,00:04:06.510,00:04:15.420,Russell Meeuf,"And you know, is it was a chain, and it was designed to be even if the space was different to look very similar from blockbuster to blockbuster didn't have a lot of personality at a blockbuster.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,29,00:04:15.870,00:04:20.190,Russell Meeuf,"It was just meant to be this kind of experience that we'd go to, whereas the good independent.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,30,00:04:20.850,00:04:31.740,Russell Meeuf,"Video rental stores always had a lot more character, a lot more charm right they you know, the more invested in the static where you had everything kind of jammed in along the shelves, rather than having everything kind of clean neat and organized.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,31,00:04:32.250,00:04:42.540,Russell Meeuf,"It was supposed to kind of produce this feeling of just like being surrounded by movies, and having all of these different options available to you and organized by genre and period and so that you could kind of.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,32,00:04:43.230,00:04:49.320,Russell Meeuf,"explore is built more like kind of like a like an archive than a store in many ways, yes.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,33,00:04:49.350,00:04:50.910,Monique Lillard,"Yes, did you think it was a good collection.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,34,00:04:51.570,00:05:02.220,Russell Meeuf,"It was a pretty good collection yeah so while, at the University, I wrote a number of books right that required me to you know I check out DVDs to grab screen grabs for.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,35,00:05:02.520,00:05:16.200,Russell Meeuf,"For the publications and stuff and I was pretty impressed with the the historical selection that they had there in terms of if I needed kind of an obscure film from the 1960s, they would probably have it, so it was it was a pretty decent collection.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,36,00:05:17.430,00:05:19.680,Russell Meeuf,"In terms of those stories, I mean there's you know.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,37,00:05:20.280,00:05:29.280,Russell Meeuf,there's certainly stores around the country that had larger and more robust collections I can't remember the name but there's one in portland kind of a very famous one that I don't think still operates in portland.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,38,00:05:29.820,00:05:40.740,Russell Meeuf,"That was just like a true archive of of film and video, but their their their collection was pretty pretty solid, especially for the Community that it serves right.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,39,00:05:42.150,00:05:46.500,Monique Lillard,there's one still operating in Seattle called scarecrow.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,40,00:05:46.740,00:05:56.130,Monique Lillard,"Okay, I believe it's Seattle, and there are two of us doing these interviews and it was the other person who interviewed the people, the woman whose brands that and I.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,41,00:05:56.730,00:06:04.530,Monique Lillard,"i've heard of the one in portland and I don't know if it's running or not right, the second I can't come up with the with the name of it so yeah okay all right.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,42,00:06:05.610,00:06:11.220,Monique Lillard,So you would go to the store for work reasons.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,43,00:06:11.280,00:06:14.250,Monique Lillard,yeah did you go for your own personal entertainment as well.,2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,44,00:06:14.520,00:06:23.670,Russell Meeuf,"yeah no, it was it's Nice because the video rental store is as much about like finding the movie as it is a social experience.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,45,00:06:24.180,00:06:31.320,Russell Meeuf,"That you know when you when you go to the video rental store it's not just about like one person, one customer showing up and kind of all I need this movie do you have this movie.",2021-06-25_russellmeeuf_videostore_transcript.vtt
mainstreet031,46,00:06:31.770,00:06:36.360,Russell Meeuf,"it's often about that experience of a group of people, whether it's you know you're in high school and with your friends.",2021-06-25_russellmeeuf_videostore_transcript.vtt
