objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet034,1,00:00:00.989,00:00:03.179,Beau Newsome,"Okay, see a little recording sign up there.",2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,2,00:00:03.179,00:00:14.759,Beau Newsome,You awesome well i'm Bo newsome and i'm here with the University of Idaho libraries oral History project for the Howard Hughes video and mainstreet video co op.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,3,00:00:16.020,00:00:23.130,Beau Newsome,"Here, with Kelly Kelly, if you would introduce yourself and kind of describe your relationship to Howard Hughes video.",2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,4,00:00:24.990,00:00:32.010,Kelly Moore,My name is Kelly more and I was one of the co owners that originally purchased.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,5,00:00:33.090,00:00:50.580,Kelly Moore,The Howard Hughes video from Howard Hughes appliance it used to be Howard Hughes appliance and video and we bought the video section when Howard Hughes moved from what is across the street from the Co op.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,6,00:00:50.730,00:00:53.850,Beau Newsome,yeah 114 fifth street.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,7,00:00:54.060,00:00:55.050,Kelly Moore,yeah yeah.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,8,00:00:55.110,00:00:59.340,Kelly Moore,And they moved out to their new location on the pullman highway and.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,9,00:00:59.490,00:01:03.690,Kelly Moore,yeah at that point they sold us the video store.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,10,00:01:03.900,00:01:06.060,Beau Newsome,And you purchase that from don and Kevin.,2021-04-15_kelly_moore_videostore_transcript.vtt
mainstreet034,11,00:01:06.360,00:01:09.000,Beau Newsome,"Yes, don frye and Kevin pietersen correct.",2021-04-15_kelly_moore_videostore_transcript.vtt
