objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet027,,00:00:00.000,00:00:00.000,,"I don't know if that necessarily needs to be recorded. That's no I don't think it really does so, yeah.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:00.000,00:00:00.000,,Okay. Okay.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:00.000,00:00:00.000,,"Are you ready, I think so. Okay. Yeah.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:00.000,00:00:00.000,,If I can hit this record button.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:00.000,00:00:02.000,,And I want to do record to the cloud credit to the cloud. Right.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:02.000,00:00:10.000,,"Okay, we are recording, okay that's interesting so on my end it's just this teensy little thing but it does say it's recording so yeah, my mind to actually.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:10.000,00:00:14.000,,"So, Okay.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:14.000,00:00:20.000,,Welcome to interview. My name is going to some I'll be interviewing you today.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:20.000,00:00:25.000,,"I guess first question is have you sign the waiver relatable. I have, yes.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:25.000,00:00:43.000,,"And would you mind stating your name and describe your relationship with Howard Hughes video and the video store call. Okay, I am Monique Lillard, and I was a longtime customer of the video rental place when it was Howard Hughes.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:00:43.000,00:01:01.000,,And then I was part of the group I think we called ourselves the steering committee that talked about what to do with the couple this out a little bit actually what to do with the video store.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:01.000,00:01:19.000,,"When Pat was kind of pattern Kelly and Deb were kind of done with owning it, man. We there were meetings at my house to decide what to do. And then, ultimately, it was decided to make it a cooperative cooperative and so I was on the co op board, definitely",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:19.000,00:01:27.000,,"remember that that was as a customer. On my way out, I got to go to one meeting at your house and yeah.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:27.000,00:01:28.000,,Cool.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:28.000,00:01:39.000,,"So I guess the first question is, How and when did you find out the video store was in town.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:39.000,00:01:42.000,,I'm not sure.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:42.000,00:01:52.000,,When I found out it was in town I remember it being there as far back as I can remember I came here in 1987.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:52.000,00:01:57.000,,And I was renting videos video tapes first and then DVDs.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:01:57.000,00:02:04.000,,"Probably the whole time, more and more especially once I got married in 1993.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:04.000,00:02:09.000,,"And, but before that also.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:09.000,00:02:12.000,,And I always preferred Howard Hughes video.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:12.000,00:02:23.000,,"The store I remember is the one that was at it, I think it's Washington, fifth, it's across from what's now the co op. Right, yeah.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:23.000,00:02:34.000,,"Yeah, so it's either in the streets, or was it the smaller Washington street address store, or was it the bigger fifth street address. I think it was the fifth street address.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:34.000,00:02:52.000,,"Okay, trying to remember that Washington, I don't know if I was in that when I maybe was but the one I really remember vividly was the fifth street address for a while, what's now Co Op was guard sports and then it was some other sports store.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:52.000,00:02:58.000,,"Pardon me, Herman's I think Carmen's here right yes yes yes Herman's right.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:02:58.000,00:03:01.000,,And,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:01.000,00:03:11.000,,"there were other video stores in town, I'm pretty sure that was tr video which 1.2 of them. Yeah, okay.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:11.000,00:03:26.000,,"I remember one over in the East what's now the east side mall, but I might be mixing up some stores because I virtually never went there, I went to Howard Hughes video always question if you rented other stores and stuff.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:26.000,00:03:35.000,,"I know you could rent at Safeway, which I might have done once or twice just on a whim because I was right there.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:35.000,00:03:40.000,,And I loved.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:40.000,00:03:51.000,,"Howard Hughes, video, and I would take people there. I'm from Los Angeles and I had lots of friends in the entertainment business and I remember I took some of them there and I said to them, standing there.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:51.000,00:03:54.000,,I love how things are organized here.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:54.000,00:03:58.000,,For some reason it matched my mood it matched my personality.,2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:03:58.000,00:04:02.000,,"Director wall, the actor wall, the Featured Actor.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:04:02.000,00:04:13.000,,"Then just the various designations of the different movies, and just please meet from the get go, so I always liked it.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:04:13.000,00:04:23.000,,"My question is what you just said what what made it unique come out. Yeah, yeah. And I,",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:04:23.000,00:04:29.000,,"for a long time, including after Howard Hughes video moved to Main Street.",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:04:29.000,00:04:45.000,,"I think my husband and I seldom rented the new releases. We went to the movie theater a lot, especially before we had children but even after we had children like first round movie theater first one movie theater right then, you know, the number of movie",2021-04-07_moniquelillard_videostore_captions.vtt
mainstreet027,,00:04:45.000,00:04:48.000,,"theaters dwindled, and they started playing.",2021-04-07_moniquelillard_videostore_captions.vtt
