objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet034,908,01:10:44.400,01:10:45.240,Kelly Moore,you're welcome.,2021-04-15_kelly_moore_videostore_transcript.vtt
,1,00:00:01.800,00:00:21.870,Monique Lillard,"And there's, a thing that says recording I think you can see it up in the upper left so all right good good, so I am for the recording here i'm monique lillard I am part of the University of Idaho oral History project about the video rental store here in Moscow Idaho.",2021-04-19_patengle_videostore_transcript.vtt
,2,00:00:23.370,00:00:29.040,Monique Lillard,It is April 19 2021 and.,2021-04-19_patengle_videostore_transcript.vtt
,3,00:00:30.120,00:00:40.710,Monique Lillard,"I am talking to pat angle, although i'm going to have her state her name just to make sure i'm pronouncing it right because i'm doing that, with everybody, but first let me just ask Pat, have you sign the waiver release.",2021-04-19_patengle_videostore_transcript.vtt
,4,00:00:41.070,00:00:41.550,Patricia Engle,"Yes, I hear.",2021-04-19_patengle_videostore_transcript.vtt
,5,00:00:41.790,00:00:49.290,Monique Lillard,Great Thank you so would you state your name for the recording and can you just generally describe your relationship with the video rental store.,2021-04-19_patengle_videostore_transcript.vtt
,6,00:00:50.070,00:01:02.400,Monique Lillard,"Which is a lot, a huge question i'm going to break it down, I will let you know i'm going to break it down to you as a customer you as an owner of the store and the various permutations of that you, as the owner of the building.",2021-04-19_patengle_videostore_transcript.vtt
,7,00:01:03.480,00:01:17.220,Monique Lillard,"Then the process of going cooperative and then sort of the denouement the handling of the collection, so all of that is going to be asked about, but just generally, can you state your name and your relationship to the store how about that.",2021-04-19_patengle_videostore_transcript.vtt
,8,00:01:18.600,00:01:22.920,Patricia Engle,"My name is pat angle, and I was one of the.",2021-04-19_patengle_videostore_transcript.vtt
,9,00:01:23.970,00:01:32.910,Patricia Engle,"original shareholders, when the store was sold somewhere back in 2009 oh okay.",2021-04-19_patengle_videostore_transcript.vtt
,10,00:01:33.870,00:01:44.220,Monique Lillard,"All right, great great let's just start talking about the store itself and yourself as a customer, first of all, did you rent videos at that store.",2021-04-19_patengle_videostore_transcript.vtt
,11,00:01:46.500,00:01:54.030,Patricia Engle,I came to Moscow back in the late 80s and was a frequent.,2021-04-19_patengle_videostore_transcript.vtt
,12,00:01:55.500,00:01:59.190,Patricia Engle,"user of Howard Hughes video, which was.",2021-04-19_patengle_videostore_transcript.vtt
,13,00:02:00.390,00:02:08.220,Patricia Engle,owned by a rather colorful character in Moscow named Howard Hughes he started the.,2021-04-19_patengle_videostore_transcript.vtt
,14,00:02:09.810,00:02:20.910,Patricia Engle,He had an appliance store and he started a small video rental place way back when and it grew and grew into a.,2021-04-19_patengle_videostore_transcript.vtt
,15,00:02:23.340,00:02:35.400,Patricia Engle,"quite an operation, and it was very lucrative at the time when Internet access in Idaho and Moscow was not widely available.",2021-04-19_patengle_videostore_transcript.vtt
,16,00:02:36.690,00:02:42.420,Patricia Engle,People were renting videos and they were videos back in those days.,2021-04-19_patengle_videostore_transcript.vtt
,17,00:02:43.980,00:02:56.070,Patricia Engle,"Back in i'm not sure when, in the early 2000s Howard, the decided to retire, and he sold his appliance business to.",2021-04-19_patengle_videostore_transcript.vtt
,18,00:02:56.820,00:03:16.410,Patricia Engle,"Some others, and I think as part of that deal, they also inherited the video score which they kept running for a number of years, but over the years, it became less and less profitable and that was the point at which.",2021-04-19_patengle_videostore_transcript.vtt
,19,00:03:18.090,00:03:26.370,Patricia Engle,"The video stores really Gary meyers his legacy, it was really Gary who had the notion that.",2021-04-19_patengle_videostore_transcript.vtt
,20,00:03:28.020,00:03:33.510,Patricia Engle,"We should find the video store at that time, am I talking too much.",2021-04-19_patengle_videostore_transcript.vtt
,21,00:03:33.540,00:03:37.860,Monique Lillard,No keep going keep going I would have some follow up questions but keep going yeah.,2021-04-19_patengle_videostore_transcript.vtt
,22,00:03:38.160,00:03:38.610,,i'm.,2021-04-19_patengle_videostore_transcript.vtt
,23,00:03:39.840,00:03:41.220,Patricia Engle,At that time.,2021-04-19_patengle_videostore_transcript.vtt
,24,00:03:42.240,00:03:52.500,Patricia Engle,"We Gary and Neil, and I and building up at 520 South Main Street, we had had a number of.",2021-04-19_patengle_videostore_transcript.vtt
,25,00:03:54.450,00:03:58.860,Patricia Engle,"Businesses in that first floor and, at the time.",2021-04-19_patengle_videostore_transcript.vtt
,26,00:04:00.390,00:04:04.140,Patricia Engle,I think we I can't remember exactly what the details were but.,2021-04-19_patengle_videostore_transcript.vtt
,27,00:04:05.220,00:04:24.300,Patricia Engle,Gary talked to the owners of the video store and it was his idea Gary was the entrepreneur in our relationship and he he decided that buying the the video store business would be good for.,2021-04-19_patengle_videostore_transcript.vtt
,28,00:04:25.470,00:04:30.360,Patricia Engle,"Our common concern, which was the building that we own together.",2021-04-19_patengle_videostore_transcript.vtt
,29,00:04:32.280,00:04:35.040,Monique Lillard,"Okay, so now i've got several follow ups here.",2021-04-19_patengle_videostore_transcript.vtt
,30,00:04:38.520,00:04:39.510,Monique Lillard,"First of all, so.",2021-04-19_patengle_videostore_transcript.vtt
,31,00:04:40.650,00:04:48.840,Monique Lillard,"it's planned that bow newsome, who is the other interviewer for this project it's planned that he is going to interview Howard Hughes himself so.",2021-04-19_patengle_videostore_transcript.vtt
